ReceiptNumber,Date,Supplier,InvoiceNumber,Reference,Designation,Quantity,UnitPrice,TVA_Percent,Discount_Percent,MontantHT,MontantTVA,MontantTTC
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,001,"PISTA VCX ROUGE NOIRE",2,3317.1,19,5,113359.700,21538.343,134898.043
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,002,"PISTA VCX VERT NOIRE",2,3317.1,19,5,113359.700,21538.343,134898.043
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,003,"PISTA VCX VERT PISTACHE",2,3317.1,19,5,113359.700,21538.343,134898.043
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,004,"PISTA VCX DORE NOIRE",2,3317.1,19,5,113359.700,21538.343,134898.043
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,005,"PISTA VCX BLEUE JAUNE",2,3317.1,19,5,113359.700,21538.343,134898.043
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,006,"PISTA VCX BLEUE NOIRE",2,3317.1,19,5,113359.700,21538.343,134898.043
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,007,"PISTA VCX NOIRE NOIRE",2,3317.1,19,5,113359.700,21538.343,134898.043
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,008,"PISTA VCX BLANC NOIRE",2,3317.1,19,5,113359.700,21538.343,134898.043
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,050,"SPRING ST 124CC VERT PISTACHE",5,3361.3,19,5,113359.700,21538.343,134898.043
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,051,"SPRING ST 124CC JAUNE NOIRE",1,3361.3,19,5,113359.700,21538.343,134898.043
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,052,"SPRING ST 124CC BLEUE CIEL",4,3361.3,19,5,113359.700,21538.343,134898.043
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,100,"FORZA POWER 107CC BLEUE",3,2344,19,5,113359.700,21538.343,134898.043
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,101,"FORZA POWER 107CC GRIS",3,2344,19,5,113359.700,21538.343,134898.043
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,102,"FORZA POWER 107CC NOIRE",4,2344,19,5,113359.700,21538.343,134898.043
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,150,"GHOST V7 124CC VERT NOIRE",1,4599.7,19,5,113359.700,21538.343,134898.043
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,151,"GHOST V7 124CC BLEUE JAUNE",1,4599.7,19,5,113359.700,21538.343,134898.043
25/000002,25/06/2025,K TRADING GLOBAL,25/000002,151,"GHOST V7 124CC BLEUE JAUNE",1,4599.736,19,5,4369.749,830.252,5200.002
25/000003,12/07/2025,K TRADING GLOBAL,25/000003,152,"GHOST V7 124CC NOIR",1,4599.735,19,5,4369.748,830.252,5200.000
25/000004,19/07/2025,K TRADING GLOBAL,25/000004,151,"GHOST V7 124CC BLEUE JAUNE",1,4599.735,19,5,4369.748,830.252,5200.000
25/000005,17/07/2025,K TRADING GLOBAL,25/000005,500,"HUILE MOTOS 10W40",36,11.756,19,0,837.648,159.153,996.801
25/000005,17/07/2025,K TRADING GLOBAL,25/000005,501,"HUILE MOTOS 20W50",36,11.512,19,0,837.648,159.153,996.801
25/000006,24/07/2025,K TRADING GLOBAL,25/000006,100,"FORZA POWER 107CC BLEUE",1,2344.652,19,5,31264.520,5940.259,37204.779
25/000006,24/07/2025,K TRADING GLOBAL,25/000006,101,"FORZA POWER 107CC GRIS",1,2344.652,19,5,31264.520,5940.259,37204.779
25/000006,24/07/2025,K TRADING GLOBAL,25/000006,102,"FORZA POWER 107CC NOIRE",1,2344.652,19,5,31264.520,5940.259,37204.779
25/000006,24/07/2025,K TRADING GLOBAL,25/000006,103,"FORZA POWER 107CC ROUGE",1,2344.652,19,5,31264.520,5940.259,37204.779
25/000006,24/07/2025,K TRADING GLOBAL,25/000006,104,"FORZA POWER 124CC BLEU",1,2433.052,19,5,31264.520,5940.259,37204.779
25/000006,24/07/2025,K TRADING GLOBAL,25/000006,105,"FORZA POWER 124CC GRIS",1,2433.052,19,5,31264.520,5940.259,37204.779
25/000006,24/07/2025,K TRADING GLOBAL,25/000006,106,"FORZA POWER 124CC NOIRE",1,2433.052,19,5,31264.520,5940.259,37204.779
25/000006,24/07/2025,K TRADING GLOBAL,25/000006,107,"FORZA POWER 124CC ROUGE",1,2433.052,19,5,31264.520,5940.259,37204.779
25/000006,24/07/2025,K TRADING GLOBAL,25/000006,150,"GHOST V7 124CC VERT NOIRE",1,4599.735,19,5,31264.520,5940.259,37204.779
25/000006,24/07/2025,K TRADING GLOBAL,25/000006,151,"GHOST V7 124CC BLEUE JAUNE",1,4599.735,19,5,31264.520,5940.259,37204.779
25/000006,24/07/2025,K TRADING GLOBAL,25/000006,153,"GHOST V7 124CC GRIS BLEU",1,4599.735,19,5,31264.520,5940.259,37204.779
25/000007,18/08/2025,K TRADING GLOBAL,25/000007,050,"SPRING ST 124CC VERT PISTACHE",2,3361.6,19,5,41855.214,7952.491,49807.705
25/000007,18/08/2025,K TRADING GLOBAL,25/000007,051,"SPRING ST 124CC JAUNE NOIRE",2,3361.6,19,5,41855.214,7952.491,49807.705
25/000007,18/08/2025,K TRADING GLOBAL,25/000007,052,"SPRING ST 124CC BLEUE CIEL",2,3361.6,19,5,41855.214,7952.491,49807.705
25/000007,18/08/2025,K TRADING GLOBAL,25/000007,100,"FORZA POWER 107CC BLEUE",1,2344.652,19,5,41855.214,7952.491,49807.705
25/000007,18/08/2025,K TRADING GLOBAL,25/000007,101,"FORZA POWER 107CC GRIS",1,2344.652,19,5,41855.214,7952.491,49807.705
25/000007,18/08/2025,K TRADING GLOBAL,25/000007,102,"FORZA POWER 107CC NOIRE",3,2344.652,19,5,41855.214,7952.491,49807.705
25/000007,18/08/2025,K TRADING GLOBAL,25/000007,104,"FORZA POWER 124CC BLEU",1,2433.052,19,5,41855.214,7952.491,49807.705
25/000007,18/08/2025,K TRADING GLOBAL,25/000007,105,"FORZA POWER 124CC GRIS",1,2433.052,19,5,41855.214,7952.491,49807.705
25/000007,18/08/2025,K TRADING GLOBAL,25/000007,106,"FORZA POWER 124CC NOIRE",2,2433.052,19,5,41855.214,7952.491,49807.705
25/000007,18/08/2025,K TRADING GLOBAL,25/000007,107,"FORZA POWER 124CC ROUGE",1,2433.052,19,5,41855.214,7952.491,49807.705
25/000008,23/09/2025,K TRADING GLOBAL,25/000008,009,"PISTA HR+ VERT JAUNE",1,3715.171,19,5,17647.062,3352.942,21000.004
25/000008,23/09/2025,K TRADING GLOBAL,25/000008,010,"PISTA HR+ NOIRE MARRON",1,3715.171,19,5,17647.062,3352.942,21000.004
25/000008,23/09/2025,K TRADING GLOBAL,25/000008,011,"PISTA HR+ GRIS VERT",1,3715.171,19,5,17647.062,3352.942,21000.004
25/000008,23/09/2025,K TRADING GLOBAL,25/000008,012,"PISTA HR+ NOIRE BLEU",1,3715.171,19,5,17647.062,3352.942,21000.004
25/000008,23/09/2025,K TRADING GLOBAL,25/000008,013,"PISTA HR+ CARBONE 124 cc",1,3715.171,19,5,17647.062,3352.942,21000.004
25/000009,23/09/2025,K TRADING GLOBAL,25/000009,052,"SPRING ST 124CC BLEUE CIEL",2,3361.625,19,5,6387.088,1213.547,7600.634
25/000010,21/10/2025,K TRADING GLOBAL,25/000010,051,"SPRING ST 124CC JAUNE NOIRE",1,3361.625,19,5,32774.668,6227.187,39001.854
25/000010,21/10/2025,K TRADING GLOBAL,25/000010,014,"PISTA HR+ VERT MARRON 124 cc",2,3538.305,19,5,32774.668,6227.187,39001.854
25/000010,21/10/2025,K TRADING GLOBAL,25/000010,015,"PISTA HR+ NOIR ROUGE 124 cc",1,3538.305,19,5,32774.668,6227.187,39001.854
25/000010,21/10/2025,K TRADING GLOBAL,25/000010,016,"PISTA HR NOIR / GRIS",1,3538.305,19,5,32774.668,6227.187,39001.854
25/000010,21/10/2025,K TRADING GLOBAL,25/000010,017,"PISTA HR NOIR / MARRON",1,3538.305,19,5,32774.668,6227.187,39001.854
25/000010,21/10/2025,K TRADING GLOBAL,25/000010,053,"SPRING ST 124CC NOIR",2,3361.625,19,5,32774.668,6227.187,39001.854
25/000010,21/10/2025,K TRADING GLOBAL,25/000010,054,"SPRING ST 124CC BLEU FONCE",1,3361.625,19,5,32774.668,6227.187,39001.854
25/000010,21/10/2025,K TRADING GLOBAL,25/000010,055,"SPRING ST 124CC VERT",1,3361.625,19,5,32774.668,6227.187,39001.854
25/000011,13/11/2025,K TRADING GLOBAL,25/000011,054,"SPRING ST 124CC BLEU FONCE",9,3361.625,19,5,57483.788,10921.920,68405.707
25/000011,13/11/2025,K TRADING GLOBAL,25/000011,055,"SPRING ST 124CC VERT",9,3361.625,19,5,57483.788,10921.920,68405.707
25/000012,14/11/2025,K TRADING GLOBAL,25/000012,009,"PISTA HR+ VERT JAUNE",2,3715.171,19,5,28235.300,5364.707,33600.007
25/000012,14/11/2025,K TRADING GLOBAL,25/000012,010,"PISTA HR+ NOIRE MARRON",1,3715.171,19,5,28235.300,5364.707,33600.007
25/000012,14/11/2025,K TRADING GLOBAL,25/000012,011,"PISTA HR+ GRIS VERT",2,3715.171,19,5,28235.300,5364.707,33600.007
25/000012,14/11/2025,K TRADING GLOBAL,25/000012,012,"PISTA HR+ NOIRE BLEU",2,3715.171,19,5,28235.300,5364.707,33600.007
25/000012,14/11/2025,K TRADING GLOBAL,25/000012,013,"PISTA HR+ CARBONE 124 cc",1,3715.171,19,5,28235.300,5364.707,33600.007
25/000013,13/11/2025,SIMCC,25/000013,902,"CASQUE LS2 AIRFLOW MATT-Taille M",1,237.864,19,0,3006.756,571.284,3578.040
25/000013,13/11/2025,SIMCC,25/000013,903,"CASQUE LS2 AIRFLOW MATT-Taille L",1,237.864,19,0,3006.756,571.284,3578.040
25/000013,13/11/2025,SIMCC,25/000013,905,"CASQUE LS2 AIRFLOW MATT-Taille XXL",1,237.864,19,0,3006.756,571.284,3578.040
25/000013,13/11/2025,SIMCC,25/000013,910,"CASQUE LS2 AIRFLOW GLOSS -Taille M",1,237.864,19,0,3006.756,571.284,3578.040
25/000013,13/11/2025,SIMCC,25/000013,911,"CASQUE LS2 AIRFLOW GLOSS -Taille L",2,237.864,19,0,3006.756,571.284,3578.040
25/000013,13/11/2025,SIMCC,25/000013,920,"CASQUE MT HELMETS MATT-Taille L",4,175.508,19,0,3006.756,571.284,3578.040
25/000013,13/11/2025,SIMCC,25/000013,927,"CASQUE MT HELMETS GLOSS -Taille L",3,175.508,19,0,3006.756,571.284,3578.040
25/000013,13/11/2025,SIMCC,25/000013,928,"CASQUE MT HELMETS GLOSS -Taille XL",2,175.508,19,0,3006.756,571.284,3578.040
25/000014,25/11/2025,K TRADING GLOBAL,25/000014,102,"FORZA POWER 107CC NOIRE",1,2370.633,19,5,2252.101,427.899,2680.001
25/000015,29/11/2025,K TRADING GLOBAL,25/000015,100,"FORZA POWER 107CC BLEUE",2,2370.633,19,5,45882.359,8717.648,54600.007
25/000015,29/11/2025,K TRADING GLOBAL,25/000015,101,"FORZA POWER 107CC GRIS",2,2370.633,19,5,45882.359,8717.648,54600.007
25/000015,29/11/2025,K TRADING GLOBAL,25/000015,102,"FORZA POWER 107CC NOIRE",5,2370.633,19,5,45882.359,8717.648,54600.007
25/000015,29/11/2025,K TRADING GLOBAL,25/000015,103,"FORZA POWER 107CC ROUGE",1,2370.633,19,5,45882.359,8717.648,54600.007
25/000015,29/11/2025,K TRADING GLOBAL,25/000015,104,"FORZA POWER 124CC BLEU",3,2459.089,19,5,45882.359,8717.648,54600.007
25/000015,29/11/2025,K TRADING GLOBAL,25/000015,105,"FORZA POWER 124CC GRIS",2,2459.089,19,5,45882.359,8717.648,54600.007
25/000015,29/11/2025,K TRADING GLOBAL,25/000015,106,"FORZA POWER 124CC NOIRE",4,2459.089,19,5,45882.359,8717.648,54600.007
25/000015,29/11/2025,K TRADING GLOBAL,25/000015,107,"FORZA POWER 124CC ROUGE",1,2459.089,19,5,45882.359,8717.648,54600.007
25/000016,29/11/2025,K TRADING GLOBAL,25/000016,500,"HUILE MOTOS 10W40",24,11.756,19,0,558.432,106.102,664.534
25/000016,29/11/2025,K TRADING GLOBAL,25/000016,501,"HUILE MOTOS 20W50",24,11.512,19,0,558.432,106.102,664.534
26/000001,17/02/2026,K TRADING GLOBAL,,013,"PISTA HR+ CARBONE 124 cc",1,3715.17,19,5,17647.059,3352.941,21000.001
26/000001,17/02/2026,K TRADING GLOBAL,,014,"PISTA HR+ VERT MARRON 124 cc",1,3715.17,19,5,17647.059,3352.941,21000.001
26/000001,17/02/2026,K TRADING GLOBAL,,015,"PISTA HR+ NOIR ROUGE 124 cc",1,3715.17,19,5,17647.059,3352.941,21000.001
26/000001,17/02/2026,K TRADING GLOBAL,,020,"PISTA HR+ BLEU BEIGE 124 cc",1,3715.171,19,5,17647.059,3352.941,21000.001
26/000001,17/02/2026,K TRADING GLOBAL,,021,"PISTA HR+ ROUGE NOIRE 124 cc",1,3715.171,19,5,17647.059,3352.941,21000.001
