ReceiptNumber,Date,Supplier,InvoiceNumber,Reference,Designation,Quantity,UnitPrice,TVA_Percent,Discount_Percent,MontantHT,MontantTVA,MontantTTC,UnitIndex,serial_number
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,001,PISTA VCX ROUGE NOIRE,1,3317.1,19,5,113359.700,21538.343,134898.043,1/2,LCS4BGN68S1E00452
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,001,PISTA VCX ROUGE NOIRE,1,3317.1,19,5,113359.700,21538.343,134898.043,2/2,LCS4BGN63S1E00326
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,002,PISTA VCX VERT NOIRE,1,3317.1,19,5,113359.700,21538.343,134898.043,1/2,LCS4BGN61S1E00762
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,002,PISTA VCX VERT NOIRE,1,3317.1,19,5,113359.700,21538.343,134898.043,2/2,LCS4BGN62S1E00768
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,003,PISTA VCX VERT PISTACHE,1,3317.1,19,5,113359.700,21538.343,134898.043,1/2,LCS4BGN69S1E00752
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,003,PISTA VCX VERT PISTACHE,1,3317.1,19,5,113359.700,21538.343,134898.043,2/2,LCS4BGN69S1E00749
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,004,PISTA VCX DORE NOIRE,1,3317.1,19,5,113359.700,21538.343,134898.043,1/2,LCS4BGN65S1E00134
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,004,PISTA VCX DORE NOIRE,1,3317.1,19,5,113359.700,21538.343,134898.043,2/2,LCS4BGN69S1E00539
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,005,PISTA VCX BLEUE JAUNE,1,3317.1,19,5,113359.700,21538.343,134898.043,1/2,LCS4BGN6XS1E00520
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,005,PISTA VCX BLEUE JAUNE,1,3317.1,19,5,113359.700,21538.343,134898.043,2/2,LCS4BGN68S1E00533
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,006,PISTA VCX BLEUE NOIRE,1,3317.1,19,5,113359.700,21538.343,134898.043,1/2,LCS4BGN66S1E00708
